trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,7,-24.664634692628294,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-87.51759528568877,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,10,-65.39352223760388,"{0: 9, 1: 4, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-123.40761435121371,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-65.34783209429091,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-117.03532060454565,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-48.86043082309152,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,-57.77874804889382,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,9.008607379967058,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,10,-15.189439762004124,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-45.40537697501011,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,13,-62.81536803980367,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,16,-7.906756256089716,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",30,15,21.57401350700884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",30,20,-46.18190452874853,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",25,0,26.302110830943167,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,0,-37.524985698503144,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,-20.904634987023563,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,-58.312051624248426,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.0025}",20,0,29.25994532039622,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,19,12.016387380667572,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,-6.9275016785423755,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-72.0768428220896,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,4,4.055538808938633,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-5.696831667941697,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-66.05516501949904,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,10,-67.44890290335435,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-12.269482382982902,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-64.78406260205031,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,15.725437269092598,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
