trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-94.20556617413322,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998001}",20,0,-78.45191947086512,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,0,-39.93820303495478,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,-181.21081220060768,"{0: 10, 1: 2, 2: 10, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-94.99999927575797,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",30,0,-208.18683643450106,"{0: 14, 1: 8, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-91.50766341113723,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,0,-95.38874645193454,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",25,0,-91.91288089474344,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-67.56534795459102,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",25,6,-99.2291427248916,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,0,-120.32807362969987,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,0,-52.94831048366375,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-92.65110884743922,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",20,0,-40.30816927474336,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",25,0,-126.8873431317803,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
