trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.99880207193368,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.10045513420188,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.44438581158352,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.98303368236337,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.50259851625265,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.6078647187875,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.6240957602821,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.75496311743444,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.8775125836548,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.41032558015684,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.97700550285779,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.51693022666159,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,6,-26.03014352954532,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.75730803506262,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.72181422967753,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.19756419718301,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.5500923859752,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,11,-31.634096746264714,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.91568229957173,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.1831244887241,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.90774044538234,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
